sample_id,Not_Assigned,p__Actinobacteriota,p__Bacteroidota,p__Campylobacterota,p__Firmicutes,p__Fusobacteriota,p__Patescibacteria,p__Proteobacteria,p__Spirochaetota,p__Synergistota,target
SRR5196331,0,229,4181,352,2561,1456,1038,6696,114,7,0
SRR5196332,0,554,6459,256,11032,689,836,1005,2,0,0
SRR5196333,0,323,1911,126,4956,1113,353,13586,11,0,0
SRR5196334,0,807,914,514,3562,1405,285,16514,64,0,0
SRR5196335,0,1148,4242,59,12545,2205,561,11174,81,0,0
SRR5196336,0,1373,1792,182,17606,1180,0,8242,0,0,0
SRR5196337,0,2096,3869,99,14233,1786,3414,2793,19,0,0
SRR5196338,0,1873,3732,402,10572,1821,467,12127,50,0,0
SRR5196339,0,1899,3320,364,11959,2408,344,4678,208,22,0
SRR5196340,10,1431,2397,316,10773,987,620,16781,79,0,0
SRR5196341,0,1971,6753,158,4748,1282,774,15329,3,0,0
SRR5196342,0,3857,2826,295,11935,2331,1122,9377,140,0,0
SRR5196343,7,2016,1160,160,11484,2579,513,8322,43,0,0
SRR5196344,0,2333,3392,16,7880,1518,62,6559,2,0,0
SRR5196345,0,725,7767,809,12042,1139,268,2044,0,0,0
SRR5196346,0,2757,1426,241,12382,1515,330,11225,32,0,0
SRR5196347,0,2238,2220,380,13681,1039,321,16137,42,9,0
SRR5196348,0,630,4550,124,9397,728,125,8044,3,0,0
SRR5196349,0,4541,10366,435,15318,1631,507,3527,5,0,0
SRR5196350,0,1966,2939,72,11485,5393,287,10362,47,30,0
SRR5196351,0,481,3447,167,5077,3656,905,9400,43,0,0
SRR5196352,0,1805,3840,75,12370,2992,1742,9715,21,0,0
SRR5196353,0,3610,3032,183,4156,4459,58,12925,17,0,0
SRR5196354,0,5163,2597,148,11163,946,60,3352,6,0,0
SRR5196355,0,1636,3406,134,12227,2419,498,7534,0,0,0
SRR5196356,0,495,2516,153,5647,2434,1593,5806,30,0,0
SRR5196357,0,1051,1879,139,8922,641,668,4544,4,0,0
SRR5196358,0,8079,4711,1263,7763,4095,1849,1348,578,0,0
SRR5196359,0,13586,4586,743,3352,3000,1684,1784,395,0,0
SRR5196360,188,1291,5846,701,7193,3921,2725,1013,248,0,0
SRR5196361,0,7629,2714,301,3417,4255,516,2818,194,0,0
SRR5196362,0,5958,1588,1221,8055,2011,195,1049,374,4,0
SRR5196363,0,9029,4316,830,5013,4819,420,5972,257,0,0
SRR5196364,0,628,926,116,8030,4015,455,2431,349,26,0
SRR5196365,0,4864,5674,846,7159,2114,1119,5310,243,34,0
SRR5196366,0,6137,3276,224,4652,5884,1611,4293,620,0,0
SRR5196367,0,2374,3829,489,4853,3492,937,8318,154,0,0
SRR5196368,0,14781,545,320,2779,1057,9,11988,15,0,0
SRR5196369,283,1254,4445,697,4864,3322,3032,865,1166,0,0
SRR5196370,0,3282,4729,475,7029,3570,101,5491,92,0,0
SRR5196371,0,2773,5959,512,2813,2457,409,7271,125,0,0
SRR5196372,0,10573,2217,240,5646,1775,350,1341,131,0,0
SRR5196373,0,3627,2079,198,3987,2042,477,3961,182,3,0
SRR5196374,0,14207,8104,442,4336,2883,447,6058,16,0,0
SRR5196375,0,4469,4646,1143,8901,3105,361,1924,317,0,0
SRR5196376,179,2450,4422,1011,5273,6589,1164,1247,327,0,0
SRR5196377,40,8984,3155,681,3025,4740,909,5689,817,0,0
SRR5196378,0,3780,2582,1962,11923,2919,507,3520,66,0,0
SRR5196379,0,14931,5946,730,2107,3180,367,2584,133,0,0
SRR5196380,0,4111,2713,705,6247,4735,919,1985,384,9,0
SRR5196381,0,3207,3796,687,5738,5336,874,2023,369,0,0
SRR5196382,0,6697,2405,166,3949,1643,625,17559,30,0,0
SRR5196383,0,9686,4070,1267,4804,5883,339,2938,870,0,0
SRR5196384,0,796,4742,626,3856,2663,407,7388,70,0,1
SRR5196385,0,110,5728,155,7464,2235,517,3166,74,0,1
SRR5196386,0,365,2263,189,17897,719,46,5132,13,0,1
SRR5196387,0,1800,1118,10,15858,670,49,5515,5,0,1
SRR5196388,0,859,3155,27,10601,485,11,1751,48,7,1
SRR5196389,0,2458,1801,82,8243,302,29,11600,4,0,1
SRR5196390,0,468,2099,104,12563,553,32,9083,13,0,1
SRR5196391,0,792,2475,132,9761,870,655,14230,9,0,1
SRR5196392,0,606,1613,181,6323,730,377,24165,46,0,1
SRR5196393,0,943,7255,191,10400,2443,700,3972,32,0,1
SRR5196394,0,369,2894,118,6448,4255,136,7179,67,8,1
SRR5196395,0,631,772,48,10253,594,120,11547,0,0,1
SRR5196396,0,702,373,198,5296,333,58,12393,5,0,1
SRR5196397,0,474,2714,40,4535,731,61,18358,5,0,1
SRR5196398,0,850,3038,136,8265,1315,309,18682,49,21,1
SRR5196399,0,1336,1744,133,14066,751,48,16519,6,0,1
SRR5196400,0,2023,3617,168,11283,939,415,7473,42,0,1
SRR5196401,0,1866,1991,369,8886,2146,1256,2660,72,16,1
SRR5196402,0,1300,3636,101,8918,1918,142,7613,21,0,1
SRR5196403,0,1090,423,55,18060,836,95,16423,22,0,1
SRR5196404,0,2157,5817,130,2794,636,63,19361,3,0,1
SRR5196405,0,855,2622,117,2252,1044,488,12161,69,0,1
SRR5196406,0,1194,3830,304,17427,711,392,14531,24,0,1
SRR5196407,0,1094,694,89,5940,901,9,17479,10,0,1
SRR5196408,0,2938,1133,534,9766,1269,38,10510,58,0,1
SRR5196409,0,4035,889,33,14379,316,115,9555,15,0,1
SRR5196410,0,1669,2196,39,11706,459,74,12627,21,9,1
SRR5196411,0,288,2895,122,10570,890,8,3883,71,0,1
SRR5196412,0,1300,2444,320,8012,2787,307,15877,93,6,1
SRR5196413,3,352,7766,122,6432,1077,221,12020,25,3,1
SRR5196414,0,1055,2220,61,6762,1076,346,13812,17,0,1
SRR5196415,0,1693,1130,153,13748,1049,12,11163,13,6,1
SRR5196416,0,6538,2879,1584,5354,2974,263,1376,53,0,1
SRR5196417,0,6244,4853,726,3257,1424,174,12372,70,0,1
SRR5196418,0,6011,3820,590,8565,2027,506,1369,404,0,1
SRR5196419,0,7218,1296,186,4229,586,149,10013,5,0,1
SRR5196420,0,11608,4873,302,3262,2117,156,10260,9,0,1
SRR5196421,0,5580,2770,572,5800,1850,2230,11459,99,0,1
SRR5196422,0,6850,2609,247,3951,8914,700,3024,150,0,1
SRR5196423,0,6667,1228,83,923,564,252,16496,0,0,1
SRR5196424,0,3515,1546,132,1112,1900,1412,1432,0,0,1
SRR5196425,47,5569,3512,644,2424,3629,425,6661,23,0,1
SRR5196426,0,5775,2740,302,2877,2978,2296,5237,58,0,1
SRR5196427,154,7198,2616,544,3099,4324,467,6756,230,57,1
SRR5196428,0,10401,2613,237,12272,2406,219,4370,40,0,1
SRR5196429,0,10917,3473,660,8144,5242,748,4868,89,4,1
SRR5196430,0,9399,3953,161,5513,7945,509,6811,67,0,1
SRR5196431,0,6518,1645,699,6231,2824,177,8419,130,0,1
SRR5196432,159,4294,4610,1264,5281,5157,340,2929,61,8,1
SRR5196433,176,6828,4606,239,6166,5598,1660,5980,1169,0,1
SRR5196434,0,19824,4461,216,9577,3476,11,1223,14,0,1
SRR5196435,0,6614,691,1112,14670,523,50,538,0,0,1
SRR5196436,0,11629,4615,1533,4885,1882,236,5623,143,0,1
SRR5196437,0,14217,1520,1359,5172,1398,12,1990,3,0,1
SRR5196438,0,7563,4573,574,8461,1625,191,3122,234,0,1
SRR5196439,82,3036,4698,469,5898,2474,401,8232,727,142,1
SRR5196440,0,8807,4140,335,3569,4796,745,5563,452,0,1
SRR5196441,0,4100,2770,119,6601,771,199,3609,5,0,1
